地点,薪资,职位,岗位需求
北京,15K-30K,高级Java开发工程师(AICC),"['熟悉', '优先', '能力', '经验', '开发', '编写', '架构设计', '文档', '熟练', '参与', '系统', '技术', '开发技术', '意识', '数据量', '具备', 'Java', '统招', 'J2EE', 'Springboot']"
宁波,8K-10K,JAVA软件开发工程师,"['开发', '模块', '系统', '编写', 'J2EE', '文档', '熟悉', '规范', '负责', '能力', '双休', '服务器端', '行业软件', '设计模式', '维护', '开发人员', '单元测试', 'EOS', '计算机相关', 'Java']"
苏州-虎丘区,10K-15K,java开发工程师,"['Java', '经验', '开发', '精通', '主流', '熟悉', '设计模式', '轻量级', '1.3', '端系统', 'J2SE', '调优', 'J2EE', 'Struts', 'Spring', 'SpringBoot', 'Hibernate', 'iBatis', 'REST', 'WebServices']"
青岛,7.5K-15K,软件工程师（JAVA、物联网测试）,"['智能家居', '相关', '测试', '功能测试', '沟通', '通信', '测试项目', '28', '35', 'JAVA', 'C++', 'C#', 'GSM', 'WIFI', '无线通信', '负责', '开发', '家电产品', '以上学历', '互联']"
长沙,5K-8K,java开发工程师,"['设计模式', '面向对象', '软件开发', '熟练', '经验', '开发', '能力', '多线程', '熟悉', '规范', '开发技术', '意识', '有创造力', 'IO', '流等', 'JavaSE', 'html', 'JSP', 'JSTL', 'JavaScript']"
上海-松江区,8K-16K,Java开发工程师,"['熟悉', 'Mysql', 'Linux', '分布式', '编程', '职位', '项目', '团队', '主流', '规范', '事务处理', '五险', '一金', 'Maven', 'Gradle', 'SVN', 'Git', 'Spring', 'Redis', 'RocketMQ']"
南京,10K-15K,Java开发工程师[中级](自主研发web后端）,"['编写', '开发', '员工', '项目', '加班', '节假日', '负责', '马路', '模范', '团队', '双休', '定期', '综合测试', '鼓楼区', '具备', '计算机相关', 'Java', 'spring', 'springMVC', 'MyBtatis']"
石家庄-裕华区,6K-8K,中级Java软件开发工程师,"['福利', '应用服务器', '进取心', '补贴', '能力', '编程', '熟悉', '具备', '架构', '数据库', '熟练', '经验', '开发', '技术', '技能型', '设计模式', '中间件', '开发人员', 'XML', 'JavaScript']"
长沙,6K-8K,java开发工程师,"['技术', '熟悉', '开发', '编程', '前端', '框架', '代码', '团队', '常用工具', '自测', '扩展性', '意识', 'Java', 'SqlServer', 'MySQL', 'Oracle', 'Redis', 'SQL', 'Html', 'Css']"
日照,15K-20K,java开发工程师,"['优先', '分布式', '熟悉', '多线程', '设计模式', '中间件', '预研', 'java', 'JVM', 'springmvc', 'orm', 'mybatis', 'hibernate', 'mysql', 'Sql', 'SOA', '消息中间件', '连接池', '对大', '链有']"
上海,10K-15K,java开发工程师,"['软件开发', '产假', '员工', '设计', '面向对象分析', '双休', '定期', '年休假', '熟悉', '各类', '员工福利', '婚假', '女职工', '计算机相关', 'java', 'JAVA', 'JSP', 'servlet', 'jdbc', 'Struts']"
石家庄,8K-15K,java高级工程师,"['系统', '开发', '架构', '调优', '设计', '框架', '分布式', '技术', '创新', '经验', '解决问题', '业务', '优先', '团队', '原理', 'JAVA', 'spring', 'springmvc', 'hibernate', 'mybatis']"
福州,10K-15K,java开发工程师,"['熟悉', 'JavaScript', '经验', '编程', '相关', '前台', '熟练', '开发', '精通', '优先', '双薪', '关系数据库', '一种', '带薪', 'JAVA', 'Eclipse', 'HTML', 'CSS', 'Web', 'J2EE']"
宁波,4K-8K,Java开发工程师（宁波）,"['项目', '理解能力', '维护', '开发', '测试', '系统优化', '熟悉', '代码优化', '系统维护', '开发进度', 'java', '系统部', '求知欲', '小伙伴', '开源', '项目管理', '相关', '数据库', '编码', '扎实']"
成都,8K-10K,javaweb中级工程师:,"['熟悉', '数据库', '编码', '习惯', 'java', 'nosql', 'javaserverlet7', 'restful', 'Spring', 'ORM', 'hibernate', 'mybatis', '10', '单元测试', '11', 'linux', '12', '经验', '开发', '面向对象']"
西安-高新技术产业开发区,8K-16K,中级Java工程师,"['优先', '开发', '熟悉', 'Linux', '联网', '熟练掌握', '代码', '经验', '设计', '独立', '参与', '任职', '项目', '框架', '半层', '自学能力', 'java', 'J2EE', 'SpringMVC', 'mybatis']"
杭州,10K-15K,java软件工程师,"['数据库', 'JAVA', 'Oracle', '开发', '编程', '模块', '语言', '电商', 'MSSOL', 'APP', 'MSSQL', '规划', '岗位职责', '方案', '专业技能', '方案设计', '以上学历', '全日制', '业务流程', '系统分析']"
青岛,10K-18K,JAVA中高级开发工程师,"['熟悉', '公司', '数据库', 'Redis', '00', '开发', '框架', '项目组', '加班', '架构', '熟练', '中级', '软件', '项目', '青岛', '代码', '协助', '技术', '主流', '多线程']"
秦皇岛,6K-8K,java开发工程师,"['熟悉', '框架', '熟练', '设计', '设计模式', 'J2EE', 'Spring', 'Struts', 'Ibatis', 'SOA', 'SQL', 'Mysql', 'Oracle', 'Sqlserver', 'js', 'html5', 'jquery', 'UML', '初中级', 'Linux']"
沈阳,6K-12K,java高级开发工程师,"['开发', '能力', 'Java', '技术', '设计', '团队', '编程', '框架', '主流', '服务器软件', '较强', '开发技术', 'struts', 'hibernate', 'spring', 'springMVC', 'MySQL', 'Oracle', 'SQLServer', 'WEB']"
石家庄,6K-12K,java高级开发工程师,"['开发', '设计', '架构设计', '经验', '熟悉', '架构', '方案', '负责', '熟练', '精通', '项目', '技术', '整合', '开发技术', '设计模式', '前沿技术', '计算机相关', 'Java', 'J2EE', 'javaweb']"
上海,8K-10K,java开发工程师,"['运维', 'Java', 'Oracle', '线上', '经验', '开发', '精通', '参与', '业务', '系统', '能力', '项目', '相关', '协助', '排错', '熟悉', '平台', '24', '以线', '高可用性']"
南京,6K-8K,JAVA工程师（南京）,"['以上学历', '常用', '经验', '设计', '开发', '其他软件', '操作命令', '设计模式', '具备', '单元测试', 'BUG7', '1.3', 'java', 'springmvc', 'mybatis', 'mysql', 'oracle', 'linux', 'springcloud', 'dubbo']"
北京-海淀区,10K-15K,JAVA开发工程师,"['熟悉', 'Web', '经验', '优先', '框架', '沟通', '设计模式', '配置管理', '专业', '中间件', 'java', 'springMVC', 'spring', 'MyBatis', 'dubbo', 'SQLServer', 'MySQL', 'linux', 'nginx', 'tomcat']"
南宁,8K-12K,广西java高级开发工程师,"['数据库', '熟悉', 'JavaEE', '开发', '经验', '职位', '优先', '能力', '技术', '主流', '认真细致', '敬业精神', '自学能力', 'JAVA', 'Servlet', 'JDBC', 'JavaBean', 'HTML', 'CSS', 'JavaScript']"
武汉,8K-12K,java高级工程师,"['后台', '设计', '开发', '数据库', '负责', '编写', '技术', '熟悉', '及运维', '架构设计', 'java', 'Java', 'MySQL', 'Oracle', 'NoSQL', 'Redis', 'MongoDB', 'Cassandra', 'Linux', 'Nginx']"
石家庄,4K-6K,Java软件开发工程师,"['熟悉', '软件开发', '程序开发', '开发技术', 'CSS', 'AJAX', '数据库', '精通', '能力', '框架', '意向者', '视图', '事务处理', '基本操作', '诚聘', '刘倩', 'java', 'web', 'android', 'delphi']"
武汉,6K-8K,Java开发工程师,"['30', '开发', '熟练掌握', '主流', 'Spring', '负责', '编写', '系统', '框架', '熟悉', '具备', '及运维', '架构设计', '计算机相关', 'JAVA', 'SpringMVC', 'MyBatis', 'Activity', 'SpringBoot', 'MySQL']"
济南-高新区,6K-8K,java中级开发工程师,"['代码', '编写', '文档', '熟悉', '技术', '经验', '开发', '注释', '优先', '分库', 'java', 'JavaEE', 'struts', 'spring', 'mybatis', 'MySQL', 'SQL', '有大', '岗位职责', '分表']"
威海,5K-7K,中级java开发工程师,"['熟悉', '熟练', '礼金', '项目经理', '文档', '开发', '编写', '代码', '协助', '团队', '团建', '测试计划', '条理性', '敬业精神', '韩语', '婚育', '带薪', 'JAVA', 'SSM', 'JSP']"
郑州,4K-6K,JAVA软件开发工程师,"['熟悉', '经验', '开发', 'java', 'Struts2', 'Spring', 'Hibernate', 'Oracle', 'mysql', 'SQL', 'WEB', '岗位职责', '文档', '积极主动', '能力', '技术开发', '服务器', '钻研', '数据库', '电子商务']"
北京,8K-16K,java开发工程师,"['开发', '精通', '负责', '技术难题', '评审', '设计', '常用', '自学能力', 'WEB', '1.2', 'JavaEE', 'SpringMVC', 'MyBatis', 'Java', 'SSH', 'HTML', 'DIV', 'CSS', 'JavaScript', 'Ajax']"
济南,6K-12K,java开发工程师,"['熟练掌握', '熟练', '文档', '数据库', '编写', '技术', '多线程', '部署', '熟悉', '开发技术', '设计模式', '语言', '部门经理', '架构设计', 'java', 'OOP', 'Eclipse', 'MyEclipse', 'IDEA', 'HTML']"
郑州,4K-6K,Java中级开发工程师,"['开发', '熟悉', '开源', '经验', '精通', '优先', '能力', '多线程', '常用', 'j2ee', 'Java', 'J2EE', 'Web', 'JavaWeb', 'SSH', 'Oracle', 'Mysql', 'SQL', 'java', 'IO']"
深圳,10K-15K,JAVA后台开发工程师,"['经验', '开发', '熟悉', '负责', '项目', '数据库', '后台', '独立', '软件', '代码', '分布式系统', '维护', 'API', '单元测试', 'Java', 'linux', 'HTTP', 'TCP', 'IP', 'UDP']"
郑州-中原区,4K-6K,java开发工程师,"['熟练掌握', '经验', '开发', '员工', '晋升', '福利', '优先', '框架', '双休', '年休假', '开发技术', '平台', '带薪', '微信', 'java', 'JSP', 'Tomcat', 'weblogic', '应用服务器', 'MVC']"
北京,12K-20K,JAVA开发工程师,"['Java', '经验', '优先', '框架', '优化', '熟悉', '开发人员', '软件缺陷', 'SpringMVC', 'Springboot', 'mybatis', 'Vue', 'Oracle', 'MySql', 'redis', 'SQL', 'Maven', 'GIT', 'SVN', 'AI']"
深圳,10K-15K,Java开发工程师,"['熟练', '调优', 'JAVA', '熟悉', '经验', '开发', '优先', '相关', '开发技术', '关务', '中间件', 'TOMCAT', 'JETTY', 'web', 'jQuery', 'bootstrap', 'CSS', 'Freemarker', '微信', 'OA']"
济南-高新区,10K-15K,java开发工程师(上海）,"['框架', '熟悉', '统招', 'Java', 'Spring', 'JS', 'jquery5', '编程', '胜任', '学历', '数据库', '本科', '出差', '住宿', '补助', '高额', '精通', '额外', '岗位', '主流']"
北京-海淀区,10K-15K,Java游戏服务器后端工程师,"['熟练掌握', '游戏', '服务器端', '经验', '通信协议', '熟悉', '开发技术', 'javaio', '线程', 'mina', 'netty', 'spring', 'SQL', 'MySql', 'http', 'tcp', '网络协议', '设计', '开发', '功能']"
西安,10K-15K,java开发工程师,"['经验', '熟悉', '插件', 'javaWeb', 'HTTP', 'Servlet', 'Nginx4', 'Web', 'SSO', 'Nginx', 'Lua', '单点', '开发', '技术', '分项', '登录', '精通', '常用', '协议', '相关']"
福州,10K-15K,JAVA工程师,"['数据库', '经验', '熟悉', '开发', '精通', '代码', '开发技术', '设计模式', '单元测试', 'JAVA', 'Java', '敬职', '爱业', 'MySQL', 'Oracle', 'MongoDB', 'Redis', 'spring', 'hibernate', 'myBatis']"
贵阳-南明区,7K-12K,java软件工程师,"['熟悉', '微信', '主流', '经验', '流程', '框架', '面向对象编程', '基本操作', '计算机相关', 'JAVA', 'Oracle', 'mysql', 'Linux', 'JAVAEE', 'MVC', 'SSM', 'SSH', 'Servlet', 'JSP', 'javascript']"
北京,6K-8K,JAVA开发工程师,"['熟悉', '熟练掌握', '熟练', '文档', '开发', 'JavaEE', '浏览器', '架构', '经验', '编写', '优先', '框架', '主流', '服务器软件', '产品', '兼容性问题', '网站', '开发技术', '设计模式', '语言']"
北京,12K-20K,Java服务器开发工程师,"['开发', '熟悉', '设计', '功能', '精通', '项目', '产品', '服务器端', '设计模式', 'QC', 'JAVA', 'PHP', 'Linux', 'Apache', 'MySQL', 'Ajax', 'DHTML', 'CSS', 'Web', '岗位职责']"
石家庄,4K-6K,java软件工程师,"['java', '熟悉', '优先', '熟练', '开发', '脚本', '多线程', '开发技术', '习惯', '企业应用', '设计模式', '配置管理', '调优', 'Java', 'Servlet', 'RestfulAPI', 'Eclipse', 'jbuilder', 'tomcat', 'JBOSS']"
上海,10K-15K,java开发工程师,"['架构设计', '技术', '研发', 'Web', '调优', '模块', '核心', '经验', '开发', '精通', '编写', '框架', '多线程', '沟通', '用户', '原理', '性能', '单元测试', 'Java', 'SpringMVC']"
北京-海淀区,15K-20K,java开发工程师,"['熟悉', 'Java', 'Spring', '原理', '常用', '负责', '经验', '开发', '系统', '分布式系统', '性能', '生态圈', '调优及', '计算机相关', 'JAVA', 'SpringBoot', 'SpringMVC', 'Maven', 'Redis', 'Zookeeper']"
北京,10K-15K,java中高级工程师,"['沟通', '技术', '架构', '数据库', '优先', '系统', '能力', '相关', '团队', '熟悉', '知识', '自学能力', '设计模式', '中间件', '保证系统', '架构设计', '全栈', 'sprintboot', 'SpringMvc', 'Spring']"
北京,20K-30K,java高级工程师,"['熟练', '框架', '精通', '熟悉', '开源', '常用', '多线程', '数据库', 'java', '应用层', '优先', '相关', '经验', '开发', '场景', '系统', '主流', '类库', '部署', '知识点']"
西安,8K-10K,Java开发工程师,"['设计', '框架', '熟悉', '精通', '技术', '熟练掌握', '主流', '软件开发', '数据库', '负责', '沟通', '程序开发', '设计模式', '语言', '中间件', '计算机相关', '专业本科', 'Java', 'JAVA', 'J2EE']"
北京,15K-20K,JAVA研发工程师,"['优先', '经验', '系统', '仓储', '程序开发', '熟悉', '电商', 'spring', 'mybatis', 'RocketMQ', 'Redis', 'MongoDB', '有大', 'springboot', 'Docker', 'linux', '唯智', '岗位职责', '开发', '熟练掌握']"
深圳,8K-15K,Java开发工程师,"['开发', 'WEB', '版本', '熟练', '经验', '项目', '熟悉', '任务分配', 'java', '前端开发', 'HTML', 'CSS', 'JavaScript', 'JSON', 'JQuery', 'SSM', 'SSH', 'MySQL', 'Oracle', 'DB2']"
长沙-岳麓区,6K-8K,JAVA中级开发工程师,"['Java', '开发', '能力', '文档', '熟悉', '质量', '编写', '代码', '多线程', '规范', '交予', '理解', 'API', 'Javascript', 'jQuery', 'Struts2', 'Spring', 'MyBatis4', 'SQL', 'Oracle5']"
泉州-安溪县,8K-10K,JAVA开发工程师,"['软件开发', '开发', '熟悉', 'Java', 'Oracle', 'SqlServer', 'Python', '经验', '三明市', '三钢', '能力', '数据库', '出差', '面试', '二楼', '热爱', '信息技术', '协作', '大楼', '优先']"
北京-海淀区,10K-15K,java开发工程师,"['熟悉', 'Java', '开发', '编程', '模块', '编写', '设计', '代码', '分布式', '并发', '经验', '精通', '优先', '项目', '框架', '测试人员', '多线程', '设计模式', 'java', 'J2EE']"
临沂,4K-6K,JAVA软件开发工程师,"['编写', '文档', '代码', '编程', '熟练', '相关', '测试', '测试计划', '面向对象编程', '习惯', 'JAVA', 'MSSqlServer', 'MySql', 'Oracle', 'sql', '架构设计', 'OOP', '岗位职责', '经验', '开发']"
南京-建邺区,8K-10K,java开发工程师,"['优先', '开发技术', '统招', 'java', '开发', '大专', '熟悉', '数据库', '经验', '择优录用', '服务端', 'SpringMVC', 'Mybatis', 'sql', 'mysql', 'oracle', 'Springboot', 'SpringCloud', 'SpringSecurity', 'Oauth']"
上海,7.5K-15K,Java开发工程师岗位,"['能力', '较强', '熟悉', '专业本科', 'Springcloud', 'SpringBoot', 'Hibernate', 'Jquery', 'Javascript', 'JSON', 'XML', 'Mysql', 'Orcale', '以上学历', '文档', '数据库', '解决问题', '编写', '岗位', '多项']"
北京-海淀区,10K-18K,JAVA研发工程师,"['汉字', 'web', 'SQL', '实验室', '熟练掌握', '文字学', '相关', '办公', '编写', '依托', '优先', '致力于', '代码', '员工', '技术', '主流', '相结合', '教学资源', '工作勤奋', '程序开发']"
成都,6K-12K,Java开发工程师,"['熟悉', '编程', '框架', 'JAVA', '数据库', '熟练', '经验', '开发', '协作', '优先', '能力', '代码', '团队', '多线程', '习惯', '具备', '脚本语言', 'Spring', 'SpringMVC', 'Springboot']"
乌鲁木齐,6K-8K,JavaWeb全栈工程师（中级）,"['Web', '面试', '地点', '界面', '熟练', '经验', '设计', '乌鲁木齐', '英文', '培训', '平面设计', '界面设计', '熟悉', 'Java', '全栈', 'HTML', 'XML', 'JavaScript', 'CSS', 'Ajax']"
青岛,6K-8K,java开发工程师(包住、双休),"['熟悉', 'JAVA', '项目经理', '分布式', '开发', '精通', '优先', '技术', '多线程', '源代码', '自学能力', '配合', '架构设计', '排配', '数据仓库', 'ETL', 'Oracle', 'SQLServer', 'MySql', 'NoSql']"
北京-朝阳区,7K-10K,java开发工程师,"['协助', '改进', '客户', '易用性', '高可用性', 'Java', 'web', '服务端', 'sqlsever', 'oracle', 'mysql', 'SQL', '系统升级', '功能模块', '触发器', '开发', '功能', '信息管理', '逻辑思维', '积极响应']"
北京-朝阳区,10K-20K,JAVA开发工程师（高薪有前途）,"['熟悉', '开发', '精通', 'Java', '法定', '框架', '原理', '税前', '常用', '测试', '多线程', '代理服务器', '服务奖', '优化', '分布式系统', '网校', '设计模式', '中间件', 'JAVA', 'JavaWeb']"
上海,6K-12K,java开发工程师,"['数据库', '开发', '熟练掌握', '熟悉', '经验', '优先', '优化', '保险经纪', 'Java', 'SPRING', 'JSP', 'SERVLET', 'JQUERY', 'XML', 'JAVASCRIPT', 'CSS', 'HTML', 'HTML5', 'mysql', 'NoSQL']"
珠海,10K-15K,Java开发工程师-企业云服务事业部,"['项目组', '服务端', '负责', '产品', '开发', '熟悉', '架构', '数据库', '核心', '解决方案', '设计', '精通', '测试', '技术', '全文检索', '面向对象编程', '服务器端', '中间件', '理解', '调优']"
北京,15K-20K,Java研发工程师,"['算法', '负责', '开发', '能力', '互联网', '技术', '产品', '计算机', '熟悉', '计算机领域', '专业', '条件者', '天翼', 'Java', 'Windows', 'Unix', 'Linux', '岗位职责', '上进心', '创新']"
深圳,10K-15K,招聘java软件开发工程师,"['文档', '调试', '代码', '软件开发', '编写', '能力', '相关', '测试', '测试计划', '熟悉', '本科学历', '应用服务器', '岗位职责', '团队精神', '设计', '项目经理', '面向对象', '软件系统', '系统', '编程']"
昆明,9K-18K,java开发工程师,"['WEB', '版本', '负责', '熟悉', '开发技术', 'j2ee', 'JAVA', '开发', '技术', '服务器', '线上', '精通', '框架', '主流', '系统优化', '网站', '性能', 'bug', '1.24', '35']"
深圳,10K-15K,中级java开发工程师,"['熟悉', '负责', '开发', '数据库', '后台', '烦恼', '优先', '团队', '多线程', '设计模式', '计算机相关', '前端开发', 'Java', 'Spring', 'MyBatis', 'SpringMVC', 'MYSQL', 'Redis', 'Mongodb', 'nosql']"
成都,6K-10K,java开发工程师,"['熟悉', 'Jsp', '经验', '优先', '开发', '能力', '具备', '数据库', '编码', '框架', '主流', '双休', '研发', '认真仔细', '自学能力', '带薪', '生态圈', '六险', '一金', '架构设计']"
北京-石景山区,10K-15K,java研发工程师,"['算法', '负责', '开发', '能力', '互联网', '技术', '产品', '计算机', '熟悉', '计算机领域', '专业', '条件者', '天翼', 'Java', 'Windows', 'Unix', 'Linux', '岗位职责', '上进心', '创新']"
北京,10K-20K,三维GIS行业JAVA开发工程师,"['GIS', '优先', '平台', '模块', '经验', '开发', '软件', '计算机相关', '专业本科', 'JEE', 'Java', 'C++', 'GDAL', '库者', '岗位职责', '图像处理', '开源', '以上学历', '技术支持', '产品']"
北京-海淀区,8K-10K,初级java开发工程师,"['优先', '熟练掌握', '开发', '能力', '软件', '开发技术', '现场', '客户', 'java', 'Oracle', 'SQL', 'html5', 'css3', 'js', 'web', '二一一', '25', '岗位职责', '软件设计', '内部测试']"
沈阳,8K-12K,JAVA/WEB高级软件工程师,"['设计', '开发', '软件开发', '项目', '页面', '技术', '前端', '优先', '能力', '软件', '相关', '沟通', '熟悉', '开发技术', '设计模式', 'WEB', 'HTML', 'CSS', 'AJAX', 'JAVA']"
北京,15K-20K,java高级工程师,"['经验', '设计', '开发', '精通', '架构设计', '优化', '数据库', '编码', '框架', '主流', '电商', '统招', 'Java', 'HTML', 'JS', 'Jquery', 'CSS', 'JAVA', 'Spring', 'Struts']"
广州-萝岗区,8K-10K,Java开发工程师,"['JAVA', 'WEB', '熟悉', '服务器', '开发', '开发技术', '计算机相关', '专业本科', 'JSP', 'SSH', '编程技术', 'SpringMVC', 'SpringBoot', 'Spring', 'hibernate', 'ibatis', 'Redis', '岗位职责', '软件设计', '负责']"
深圳-龙岗区,10K-15K,java软件工程师,"['Java', 'JavaScript', 'Ajax', '开发', '熟练', '源代码', '统招', 'Eclipse', 'Struts', 'Spring', 'Hibernate', '开发工具', '经验', '熟练掌握', '开源', '以上学历', '本科', '前述', '精通', '框架']"
广州,10K-18K,Java开发工程师,"['模块', '相关', '负责', '熟悉', '性能', '保证系统', '单元测试', '本科学历', 'web', 'Spring', 'SpringMVC', 'Struts', 'MyBatis', 'Hibernate', 'SQL', '岗位职责', '开发', '熟练掌握', '建模', '全日制']"
北京,8K-10K,JAVA开发工程师-CRM,"['CRM', '开源', '系统', '技术', '扎实', '开发', '框架', '主流', '学懂', '分布式系统', '单元测试', 'Java', 'java', 'SpringMVC', 'Spring', 'Springboot', 'MyBatis', '心及', '负责', '经验']"
南昌,4K-6K,java软件工程师软件开发,"['开发', '开源', '熟悉', '项目', '数据库', '能力', '框架', '多线程', 'ERP', 'J2EE', 'java', 'IO', 'Struts', 'Webwork', 'Spring', 'Mybatis', 'MySQL', 'UML', 'OOAD', '上进心']"
杭州,5K-9K,java开发工程师,"['java', '熟悉', '软件开发', 'j2ee', 'struts', 'hibernate', 'spring', 'ibatis', 'xml', 'html', 'xhtml', 'css', 'ajax', 'json', 'web', 'sqlserver', 'mysql', '团队精神', '学习', '熟练掌握']"
西安,8K-10K,Java中级开发工程师,"['熟悉', '能力', '框架', '多线程', 'JAVA', 'io', 'jvm', 'Oracle', 'sql', 'redis', 'rpc', 'springmvc', 'spring', 'mybatis', 'html5', 'css3', 'js', 'bootstrap', 'jquery', 'Linux']"
深圳-龙岗区,10K-15K,java软件工程师,"['Java', 'JavaScript', 'Ajax', '开发', '熟练', '源代码', '统招', 'Eclipse', 'Struts', 'Spring', 'Hibernate', '开发工具', '经验', '熟练掌握', '开源', '以上学历', '本科', '前述', '精通', '框架']"
北京,20K-30K,JAVA高级研发工程师,"['数据库', '熟悉', '熟练', '开发', '精通', '框架', '多线程', '常用', '计算机相关', '专业本科', 'java', '服务端', 'Spring', 'Springbooot', 'SpringMVC', 'MyBatis', 'io', 'SOA', 'DevOps', 'JVM']"
广州-萝岗区,8K-10K,Java开发工程师,"['JAVA', 'WEB', '熟悉', '服务器', '开发', '开发技术', '计算机相关', '专业本科', 'JSP', 'SSH', '编程技术', 'SpringMVC', 'SpringBoot', 'Spring', 'hibernate', 'ibatis', 'Redis', '岗位职责', '软件设计', '负责']"
南京,10K-15K,JAVA软件开发工程师,"['数据库', '木制品', '开发', '优化', '熟练', '地铁口', '我司', 'ERP', 'PDM', 'MES', '6M', '南林', 'Web', 'HTML', '技术', '经验', '家具', '功能', '信息管理', '团队']"
北京,11K-17K,java开发工程师,"['spring', '熟悉', '设计模式', '开发技术', '具备', '统招', 'JAVA', 'J2EE', 'springMVC', 'Hibernate', 'Mybatis', 'boot', 'cloud', 'Linux', '经验', '熟练掌握', '开源', '面向对象', '数据结构', '逻辑思维']"
广州,14K-25K,高级Java软件工程师,"['框架', '开发', 'Javascript', '技术', '业务', '系统', '组织', '相关', '研发', '流行', '开发技术', '指导', '语言', '开发人员', 'java', '架构设计', '专业本科', 'Java', 'J2EE', 'Hibernate']"
北京,8K-10K,JAVA开发工程师-室内地图,"['数据库', '熟练', '熟悉', '精通', '理解', 'Java', '缓存', '图像处理', '编程', '经验', '设计', '优先', '相关', '框架', '多线程', '优化', '研发', '服务器端', '软件结构', '开发技术']"
北京,8K-10K,JAVA开发工程师-可视化数据报表,"['数据报表', 'Java', '可视化', '框架', '熟练掌握', '设计', '开发', '优先', '多线程', '服务器端', '计算机专业', '源代码', 'JAVA', '条线', '计算机相关', 'java', 'Spring', 'Mysql', '负责', '抗压']"
北京,15K-20K,java高级工程师,"['经验', '设计', '开发', '精通', '架构设计', '优化', '数据库', '编码', '框架', '主流', '电商', '统招', 'Java', 'HTML', 'JS', 'Jquery', 'CSS', 'JAVA', 'Spring', 'Struts']"
大连,6K-8K,Java软件工程师,"['优先', '能力', '熟悉', 'JAVA', 'web', 'Javascript', 'ORACLE', 'SQL', 'Ajax', 'Spring', '开发', '日语', '数据库', '熟练', '框架', '团队', '沟通', '经验', '合作', '操作']"
北京,20K-30K,Java开发工程师,"['熟练', '开发', '架构', '数据库', '前端开发', 'JS', '技术', '负责', '熟悉', '经验', '前端', '主流', '计算机相关', '专业本科', 'J2EE', 'Ajax', 'json', 'css', 'ES6', 'HTML5']"
北京,15K-20K,【Java后端游戏开发工程师】,"['开发', '熟悉', 'Java', '开源', '必备', '能力', '按量', '自定义', '单例', 'Netty', 'Mina', 'Protobuf', 'Eclipse', 'socket', 'MySQL', '编程技术', 'java', 'spring', 'netty', 'mysql']"
济南,4K-8K,JAVA软件工程师,"['福利', '员工', '经验', '免费', '公司', '文档', '不定期', '模块', '开发', '法定', '优先', '提供', '双休', '优化', '源代码', '熟悉', '性能', '带薪', '业余生活', 'eclipse']"
成都,8K-12K,java开发工程师,"['熟悉', '开发技术', '开发', '数据库', '系统', '框架', '代码', '技术', '团队', '多线程', '分布式系统', '常用', '设计模式', '本专', '计算机相关', 'java', 'Java', 'Spring', 'MyBatis', 'XML']"
南京,4K-6K,java开发工程师,"['熟练', '精通', '优先', '框架', '计算机', '源码', 'SpringMVC', 'mybaties', 'Tomcat', 'Nginx', 'jetty', 'css', 'html5', 'jquery', 'easyUI', 'bootstrap', 'ext', 'Vue', 'angular', 'Oracle']"
北京,10K-20K,java开发工程师初级,"['能力', '多线程', 'java', 'Linux', 'shell', 'sql', 'MySql', 'MyBatis', '岗位职责', '缓存', '台后', '迭代', '熟练掌握', '思路清晰', '软件开发', '语句', '数据库', '熟练', '协作', '端的']"
福州,8K-10K,java软件工程师,"['开发', 'Java', '软件', '项目经理', '文档', '熟悉', '经验', '框架', '代码', '产品化', '版本控制', '源代码', '承担', '自测', '开发技术', '软件配置管理', 'J2EE', '架构设计', 'Servlet', 'JSP']"
北京,10K-15K,Java研发工程师,"['JAVA', '架构', '参与', '熟悉', '系统', '开发', '项目', '技术', '线上', '设计', '多线程', '研发', '系统优化', '敬业精神', '常用', '管理控制', '大型软件', '功能设计', '专业本科', 'ftp']"
武汉,5K-9K,Java研发工程师,"['熟练', '熟练掌握', 'j2ee', '数据库', '开发', '前端', '框架', '面向对象编程', '视图', '设计模式', 'web', 'oracle', 'mysql', 'html', 'javascript', 'css', 'ajax', 'jquery', 'vue', 'bootstrap']"
上海-宝山区,8K-10K,JAVA开发工程师,"['经验', '框架', '开发', '熟练掌握', '优先', '文档', '熟悉', '相关', '技术', '数据库', '负责', '扎实', '设计', '预研', '实习期', '计算机相关', 'j2ee', 'SpringMVC', 'Spring', 'boot']"
西安,10K-15K,高级JAVAWeb开发工程师,"['熟练', '经验', '数据库', '负责', '优先', '项目', '产品', '研发', '熟悉', '一种', '中间件', '控及', 'Java', 'JavaEE', 'struts2', 'springMvc', 'iBatis', 'Hibernate', 'ysql', 'Oracle']"
信阳,4K-6K,中级java开发工程师,"['框架', '技术', '团队', '版本控制', 'CSS', 'JavaScript', 'Ajax', 'Jquery', 'Struts', 'Hibernate', 'Spring', 'Web', 'SVN', 'Meavn', 'SQL', 'Oracle', '岗位职责', '开发', '熟练掌握', '组件']"
天津,7.5K-15K,java开发工程师,"['SQL', '精通', '薪资', 'Web', '我司', '研发部', '熟悉', '语句', '总工程师', '后台', '符合条件', '设计', '福利', '编写', '系统', '技术', '服务器软件', '优化', '职业', '中间件']"
